Name,Book,Feat Type,Bonus Feat?,Prerequisites,Description
Ancestral Relic,BoED 39,General,No,"Any good alignment, character level 3rd",Create personal magic item
Consecrate Spell-Like Ability,BoED 42,General,No,Any good alignment,Adds good descriptor to spell-like ability
Purify Spell-Like Ability,BoED 45,General,No,Any good alignment,"Adds good descriptor to spell-like ability; neutral creatures take half damage, good creatures take no damage"
Resounding Blow,BoED 45,General,Fighter,"Str 13, Power Attack, Intimidate 7 ranks",Potential cowering effect on critical hit
Spell Focus (Good),BoED 46,General,No,Any good alignment, +2 bonus to save DCs of spells with good descriptor
Subduing Strike,BoED 46,General,Fighter,none,No penalty when dealing nonlethal damage; rogue’s sneak attack deals nonlethal damage
Animal Friend,BoED 41,Exalted,No,"Cha 15, wild empathy class feature", +4 exalted bonus on wild empathy checks
Celestial Familiar,BoED 41,Exalted,No,"Ability to acquire a new familiar, minimum level requirement (see text)",Additional familiar choices
Celestial Mount,BoED 42,Exalted,No,Paladin level 4th,Mount gains celestial creature template
Consecrate Spell Trigger,BoED 42,Exalted,No,"Craft Wand or Craft Staff, ability to turn undead",Use turning ability to add good descriptor to triggered spell
Exalted Companion,BoED 42,Exalted,No,"Ability to acquire a new animal companion, minimum level requirement (see text)",Additional animal companion choices
Exalted Smite,BoED 42,Exalted,No,Smite evil class ability,Weapon good-aligned when smiting evil
Exalted Spell Resistance,BoED 42,Exalted,No,"Cha 15, spell resistance", +4 to spell resistance against evil spells and spell-like abilities of evil outsiders
Exalted Turning,BoED 42,Exalted,No,Ability to turn undead,Extra 3d6 points of damage when turning
Exalted Wild Shape,BoED 42,"Exalted, Wild",No,"Wild shape class ability, wild shaping class level 8th",Additional wild shape options
Exalted Wild Shape,BoED 42,"Wild, Exalted",No,"Wild shape class ability, wild shaping class level 8th",Additional wild shape options
Favored of the Companions,BoED 43,Exalted,No,none, +1 luck bonus on any one roll or check
Fist of the Heavens,BoED 43,Exalted,Fighter,"Wis 15, Sanctify Ki Strike, Stunning Fist", +2 to Stunning Fist DC
Gift of Faith,BoED 43,Exalted,No,Wis 13, +2 bonus on saving throws to resist fear and despair effects
Gift of Grace,BoED 43,Exalted,No,Divine grace class ability,Share Cha saving throw bonus
Hands of a Healer,BoED 43,Exalted,No,"Cha 13, lay on hands class ability", +2 bonus to Cha for lay on hand ability
Holy Subdual,BoED 44,Exalted,Fighter,Subduing Strike,Transform bonus and smite damage to nonlethal
Intuitive Attack,BoED 44,Exalted,Fighter,Base attack bonus +1,Use Wis modifier instead of Str modifier on attack rolls with simple and natural weapons
Knight of Stars,BoED 44,Exalted,No,none, +1 luck bonus on any one roll or check
Nemesis,BoED 44,Exalted,No,Favored enemy class ability,Detect presence of favored enemies
Nimbus of Light,BoED 44,Exalted,No,none, +2 bonus on Diplomacy and Sense Motive checks with good creatures
Holy Radiance,BoED 44,Exalted,No,"Cha 15, Nimbus of Light",Glow with light harmful to undead
Stigmata,BoED 46,Exalted,No,Nimbus of Light,Heal others’ wounds by taking Con damage
Nymph’s Kiss,BoED 44,Exalted,No,none," +2 bonus on Cha-related checks, +1 bonus on saving throws against spells, 1 extra skill point per level"
Purify Spell Trigger,BoED 45,Exalted,No,"Craft Wand or Craft Staff, ability to turn undead","Use turning ability to add good descriptor to spell; neutral creatures take half damage, good creatures take no damage"
Quell the Profane,BoED 45,Exalted,No,"Str 13, Power Attack, Resounding Blow, base attack bonus +8",Potential Str damage to evil creature on critical hit
Ranged Smite Evil,BoED 45,Exalted,No,Smite evil class ability,Smite evil with ranged attack
Righteous Wrath,BoED 45,Exalted,No,Rage class ability,Potential shaken effect against evil creatures
Sacred Strike,BoED 45,Exalted,No,Sneak attack class ability,Sneak attacks deal d8s against evil creatures
Sacred Vow,BoED 45,Exalted,No,none, +2 perfection bonus on Diplomacy checks
Vow of Abstinence,BoED 47,Exalted,No,Sacred Vow, +4 perfection bonus on Fort saves against poisons and drugs
Vow of Chastity,BoED 47,Exalted,No,Sacred Vow, +4 perfection bonus on Will saves against charms and phantasms
Vow of Nonviolence,BoED 47,Exalted,No,Sacred Vow, +4 bonus on save DCs of nondamaging spells
Vow of Peace,BoED 48,Exalted,No,"Sacred Vow, Vow of Nonviolence",Calming aura; +6 varied bonus to AC
Vow of Obedience,BoED 48,Exalted,No,Sacred Vow, +4 perfection bonus on Will saves against compulsions
Vow of Poverty,BoED 48,Exalted,No,Sacred Vow,"Bonuses to AC, ability scores, and saves; bonus feats (see page 29"
Vow of Purity,BoED 48,Exalted,No,Sacred Vow, +4 perfection bonus on Fort saves against disease and death effects
Sanctify Ki Strike,BoED 46,Exalted,No,"Cha 15, Improved Unarmed Strike, Ki strike (lawful)", +1 or +1d4 bonus on unarmed damage rolls against evil creatures
Holy Ki Strike,BoED 44,Exalted,No,"Cha 15, Improved Unarmed Strike, Ki strike (holy), Sanctify Ki Strike", +2d6 bonus on damage rolls against evil creatures
Sanctify Martial Strike,BoED 46,Exalted,No,"Cha 15, Weapon Focus with the specified weapon", +1 or +1d4 bonus on weapon damage rolls against evil creatures
Sanctify Natural Attack,BoED 46,Exalted,No,"One or more natural weapon attacks, base attack bonus +5", +1 or +1d4 bonus on natural attack damage rolls against evil creatures
Sanctify Weapon,BoED 46,Exalted,No,Ability to cast align weapon,Aligned weapon becomes sanctified
Servant of the Heavens,BoED 46,Exalted,No,none, +1 luck bonus on any one roll or check
Touch of Golden Ice,BoED 47,Exalted,No,Con 13,Evil creatures touched ravaged by golden ice
Words of Creation,BoED 48,Exalted,No,"Int 15, Cha 15, base Will save bonus +5",Ability to use Words of Creation (see page 31)
Consecrate Spell,BoED 42,Metamagic,No,Any good alignment,Adds good descriptor to spell
Nonlethal Substitution,BoED 44,Metamagic,No,"Any other metamagic feat, Knowledge (arcana) 5 ranks",Transform spell’s energy damage to nonlethal
Purify Spell,BoED 44,Metamagic,No,Any good alignment,"Adds good descriptor to spell; neutral creatures take half damage, good creatures take no damage"
